"","proportion","stage","day"
"1",1,"L2",1
"2",0,"L3",1
"3",0,"L4",1
"4",0,"L5",1
"5",0,"L6",1
"6",0,"Pupa",1
"7",1,"L2",2
"8",0,"L3",2
"9",0,"L4",2
"10",0,"L5",2
"11",0,"L6",2
"12",0,"Pupa",2
"13",1,"L2",3
"14",0,"L3",3
"15",0,"L4",3
"16",0,"L5",3
"17",0,"L6",3
"18",0,"Pupa",3
"19",1,"L2",4
"20",0,"L3",4
"21",0,"L4",4
"22",0,"L5",4
"23",0,"L6",4
"24",0,"Pupa",4
"25",0.996,"L2",5
"26",0.004,"L3",5
"27",0,"L4",5
"28",0,"L5",5
"29",0,"L6",5
"30",0,"Pupa",5
"31",0.476,"L2",6
"32",0.524,"L3",6
"33",0,"L4",6
"34",0,"L5",6
"35",0,"L6",6
"36",0,"Pupa",6
"37",0.144,"L2",7
"38",0.856,"L3",7
"39",0,"L4",7
"40",0,"L5",7
"41",0,"L6",7
"42",0,"Pupa",7
"43",0.056,"L2",8
"44",0.94,"L3",8
"45",0.004,"L4",8
"46",0,"L5",8
"47",0,"L6",8
"48",0,"Pupa",8
"49",0.028,"L2",9
"50",0.776,"L3",9
"51",0.196,"L4",9
"52",0,"L5",9
"53",0,"L6",9
"54",0,"Pupa",9
"55",0.016,"L2",10
"56",0.344,"L3",10
"57",0.64,"L4",10
"58",0,"L5",10
"59",0,"L6",10
"60",0,"Pupa",10
"61",0.004,"L2",11
"62",0.144,"L3",11
"63",0.844,"L4",11
"64",0.008,"L5",11
"65",0,"L6",11
"66",0,"Pupa",11
"67",0,"L2",12
"68",0.064,"L3",12
"69",0.788,"L4",12
"70",0.148,"L5",12
"71",0,"L6",12
"72",0,"Pupa",12
"73",0,"L2",13
"74",0.032,"L3",13
"75",0.5,"L4",13
"76",0.468,"L5",13
"77",0,"L6",13
"78",0,"Pupa",13
"79",0,"L2",14
"80",0.008,"L3",14
"81",0.224,"L4",14
"82",0.768,"L5",14
"83",0,"L6",14
"84",0,"Pupa",14
"85",0,"L2",15
"86",0.008,"L3",15
"87",0.104,"L4",15
"88",0.852,"L5",15
"89",0.036,"L6",15
"90",0,"Pupa",15
"91",0,"L2",16
"92",0.004,"L3",16
"93",0.052,"L4",16
"94",0.716,"L5",16
"95",0.228,"L6",16
"96",0,"Pupa",16
"97",0,"L2",17
"98",0,"L3",17
"99",0.032,"L4",17
"100",0.488,"L5",17
"101",0.48,"L6",17
"102",0,"Pupa",17
"103",0,"L2",18
"104",0,"L3",18
"105",0.008,"L4",18
"106",0.248,"L5",18
"107",0.744,"L6",18
"108",0,"Pupa",18
"109",0,"L2",19
"110",0,"L3",19
"111",0.004,"L4",19
"112",0.132,"L5",19
"113",0.864,"L6",19
"114",0,"Pupa",19
"115",0,"L2",20
"116",0,"L3",20
"117",0,"L4",20
"118",0.068,"L5",20
"119",0.92,"L6",20
"120",0.012,"Pupa",20
