"date","proportion","stage","min_temp","max_temp","prov","year","month"
2013-04-01,1,"L2o","-21.075","-17.525","in",2013,4
2013-04-02,1,"L2o","-25.125","-20.15","in",2013,4
2013-04-03,1,"L2o","-26.8","-21.35","in",2013,4
2013-04-04,1,"L2o","-23.975","-21.1","in",2013,4
2013-04-05,1,"L2o","-28.6","-25.05","in",2013,4
2013-04-06,1,"L2o","-30.475","-20.725","in",2013,4
2013-04-07,1,"L2o","-30.6","-17.9","in",2013,4
2013-04-08,1,"L2o","-23.925","-21.225","in",2013,4
2013-04-09,1,"L2o","-24.5","-19.625","in",2013,4
2013-04-10,1,"L2o","-20.2","-16.175","in",2013,4
2013-04-11,1,"L2o","-18.075","-15.5","in",2013,4
2013-04-12,1,"L2o","-16.325","-13.85","in",2013,4
2013-04-13,1,"L2o","-17.275","-7.475","in",2013,4
2013-04-14,1,"L2o","-18.05","-11","in",2013,4
2013-04-15,1,"L2o","-21.05","-14.725","in",2013,4
2013-04-16,1,"L2o","-21","-13","in",2013,4
2013-04-17,1,"L2o","-20.475","-14.675","in",2013,4
2013-04-18,1,"L2o","-22.3","-18.625","in",2013,4
2013-04-19,1,"L2o","-21.95","-6.75","in",2013,4
2013-04-20,1,"L2o","-11.25","-0.75","in",2013,4
2013-04-21,1,"L2o","-10.275","-3.825","in",2013,4
2013-04-22,1,"L2o","-7.25","1.825","in",2013,4
2013-04-23,1,"L2o","-2.35","1.675","in",2013,4
2013-04-24,1,"L2o","-12.25","-3.525","in",2013,4
2013-04-25,1,"L2o","-14.9","-13.275","in",2013,4
2013-04-26,1,"L2o","-16.95","-10.875","in",2013,4
2013-04-27,1,"L2o","-23.675","-17.725","in",2013,4
2013-04-28,1,"L2o","-20.325","-10.625","in",2013,4
2013-04-29,1,"L2o","-17.05","-9.825","in",2013,4
2013-04-30,1,"L2o","-21.2","-16.975","in",2013,4
2013-05-01,1,"L2o","-22.925","-17.2","in",2013,5
2013-05-02,1,"L2o","-20.9","-16.4","in",2013,5
