"L2","L3","L4","L5","L6","temp","prov"
34,57,77,104,139,10,"nwt"
34,57,84,111,147,10,"nwt"
29,47,67,94,122,10,"nwt"
29,52,86,113,149,10,"nwt"
39,62,82,109,141,10,"nwt"
39,57,77,104,139,10,"nwt"
29,47,67,87,115,10,"nwt"
34,57,84,102,134,10,"nwt"
34,52,79,106,141,10,"nwt"
34,52,79,106,141,10,"nwt"
34,52,72,99,135,10,"nwt"
34,52,72,99,127,10,"nwt"
29,47,74,101,137,10,"nwt"
34,52,72,99,131,10,"nwt"
39,57,77,104,140,10,"nwt"
34,52,72,94,129,10,"nwt"
16,39,59,86,118,10,"nwt"
34,57,84,111,142,10,"nwt"
29,47,74,88,120,10,"nwt"
39,57,77,104,135,10,"nwt"
34,57,77,104,136,10,"nwt"
34,52,69,96,128,10,"nwt"
39,57,71,98,130,10,"nwt"
29,52,66,84,119,10,"nwt"
34,52,66,84,116,10,"nwt"
34,52,66,84,115,10,"nwt"
39,57,71,89,121,10,"nwt"
34,52,66,88,130,10,"nwt"
39,57,84,98,130,10,"nwt"
29,52,79,97,129,10,"nwt"
29,52,79,93,124,10,"nwt"
34,70,97,115,146,10,"nwt"
29,52,79,101,133,10,"nwt"
37,55,69,87,118,10,"nwt"
34,57,91,113,151,10,"nwt"
34,52,66,80,108,10,"nwt"
29,47,74,96,127,10,"nwt"
25,43,57,75,107,10,"nwt"
34,57,71,93,125,10,"nwt"
25,48,75,97,125,10,"nwt"
34,52,66,84,115,10,"nwt"
34,52,79,97,128,10,"nwt"
21,39,66,80,111,10,"nwt"
25,48,75,97,125,10,"nwt"
25,43,70,88,112,10,"nwt"
34,57,84,102,130,10,"nwt"
34,50,64,82,109,10,"nwt"
34,50,64,82,109,10,"nwt"
19,42,56,74,98,10,"nwt"
25,41,55,69,100,10,"nwt"
34,57,84,98,126,10,"nwt"
34,49,76,94,125,10,"nwt"
19,42,56,74,102,10,"nwt"
22,38,65,79,110,10,"nwt"
22,38,52,70,101,10,"nwt"
22,38,65,83,115,10,"nwt"
25,38,52,70,94,10,"nwt"
19,49,76,94,125,10,"nwt"
19,42,56,74,98,10,"nwt"
19,42,69,83,111,10,"nwt"
19,35,62,84,115,10,"nwt"
19,42,56,74,102,10,"nwt"
21,36,50,64,92,10,"nwt"
16,39,53,71,103,10,"nwt"
22,38,52,70,101,10,"nwt"
21,44,71,89,116,10,"nwt"
18,39,53,67,94,10,"nwt"
19,38,72,90,122,10,"nwt"
22,38,65,79,110,10,"nwt"
22,41,59,73,104,10,"nwt"
22,50,64,82,111,10,"nwt"
18,34,52,70,97,10,"nwt"
22,50,68,86,110,10,"nwt"
19,47,59,73,101,10,"nwt"
10,16,24,32,43,15,"nwt"
10,16,22,29,43,15,"nwt"
11,18,25,31,42,15,"nwt"
11,18,25,33,47,15,"nwt"
10,17,22,29,40,15,"nwt"
13,21,27,34,46,15,"nwt"
9,14,19,26,36,20,"nwt"
7,12,16,21,30,20,"nwt"
6,12,16,21,30,20,"nwt"
6,11,15,20,29,20,"nwt"
7,11,15,19,28,20,"nwt"
9,15,19,25,34,20,"nwt"
6,10,14,18,25,20,"nwt"
6,11,14,18,26,20,"nwt"
8,12,17,22,30,20,"nwt"
8,13,16,20,28,20,"nwt"
7,11,15,19,27,20,"nwt"
8,12,16,22,33,20,"nwt"
8,13,17,22,32,20,"nwt"
8,13,16,21,30,20,"nwt"
7,11,15,22,34,20,"nwt"
7,12,16,20,32,20,"nwt"
7,12,16,20,27,20,"nwt"
7,11,15,19,29,20,"nwt"
6,10,15,19,29,20,"nwt"
9,14,18,25,35,20,"nwt"
7,12,16,22,29,20,"nwt"
8,13,16,21,31,20,"nwt"
11,16,21,26,36,20,"nwt"
